21111,Oil and gas extraction (except oil sands),52773.625,1
33611,Automobile and light-duty motor vehicle manufacturing,30293.023,1
21222,Gold and silver ore mining,16097.112,1
33641,Aerospace product and parts manufacturing,10916.264,1
32411,Petroleum refineries,9758.001,1
32541,Pharmaceutical and medicine manufacturing,9182.241,1
33141,Non-ferrous metal (except aluminum) smelting and refining,8043.815,1
32111,Sawmills and wood preservation,8031.985,1
31161,Animal slaughtering and processing,7126.011,1
33131,Alumina and aluminum production and processing,6795.344,1
11114,Wheat farming,6305.302,1
21239,Other non-metallic mineral mining and quarrying,6284.349,1
21221,Iron ore mining,5715.822,1
32521,Resin and synthetic rubber manufacturing,5292.495,1
11112,Oilseed (except soybean) farming,5132.173,1
31122,Starch and vegetable fat and oil manufacturing,4965.701,1
32211,Pulp mills,4807.402,1
33361,"Engine, turbine and power transmission equipment manufacturing",4452.884,1
32619,Other plastic product manufacturing,4252.774,1
33451,"Navigational, measuring, medical and control instruments manufacturing",4154.961,1
33111,Iron and steel mills and ferro-alloy manufacturing,3914.851,1
21223,"Copper, nickel, lead and zinc ore mining",3614.742,1
32212,Paper mills,3588.217,1
33991,Jewellery and silverware manufacturing,3574.724,1
32121,"Veneer, plywood and engineered wood product manufacturing",3548.177,1
