21111,Oil and gas extraction (except oil sands),58310.687,1
33611,Automobile and light-duty motor vehicle manufacturing,44037.17,1
32411,Petroleum refineries,13517.428,1
33141,Non-ferrous metal (except aluminum) smelting and refining,10181.44,1
33641,Aerospace product and parts manufacturing,9852.345,1
32212,Paper mills,9690.054,1
33131,Alumina and aluminum production and processing,9320.366,1
32111,Sawmills and wood preservation,8844.813,1
32521,Resin and synthetic rubber manufacturing,6311.957,1
32211,Pulp mills,5736.038,1
33612,Heavy-duty truck manufacturing,4937.739,1
32541,Pharmaceutical and medicine manufacturing,4799.183,1
32619,Other plastic product manufacturing,4784.827,1
21222,Gold and silver ore mining,4768.161,1
32121,"Veneer, plywood and engineered wood product manufacturing",4312.005,1
33421,Telephone apparatus manufacturing,4262.61,1
31161,Animal slaughtering and processing,4152.565,1
33361,"Engine, turbine and power transmission equipment manufacturing",4145.904,1
21239,Other non-metallic mineral mining and quarrying,4110.199,1
33111,Iron and steel mills and ferro-alloy manufacturing,4041.028,1
33631,Motor vehicle gasoline engine and engine parts manufacturing,3739.674,1
33451,"Navigational, measuring, medical and control instruments manufacturing",3664.557,1
33411,Computer and peripheral equipment manufacturing,3595.105,1
33639,Other motor vehicle parts manufacturing,3434.328,1
32518,Other basic inorganic chemical manufacturing,3310.581,1
