"industry_code";"year";"import_value"
33341;2006;2681.34
33341;2007;2676.39
33341;2008;2717.37
33341;2009;2305.11
33341;2010;2646.71
33341;2011;2833.13
33341;2012;3008.37
33341;2013;3044.16
33341;2014;3194.52
33341;2015;2918.17
33341;2016;2839.59
33341;2017;2860.77
33341;2018;3027.11
33341;2019;3116.81
33341;2020;2763.4
33341;2021;3142.64
33341;2022;3783.8
33341;2023;3829.56
33341;2024;3922.94
33361;2002;2483.88
33361;2003;2280.33
33361;2004;2735.18
33361;2005;3317.66
33361;2006;3744.55
33361;2007;2762.59
33361;2008;3019.55
33361;2009;2406.5
33361;2010;2746.39
33361;2011;3092.57
33361;2012;3398.13
33361;2013;3471.81
33361;2014;4453.14
33361;2015;4198.95
33361;2016;3125.63
33361;2017;3381.21
33361;2018;3589.39
33361;2019;3758.54
33361;2020;2859.65
33361;2021;3243.79
33361;2022;4091.56
33361;2023;4390.62
33361;2024;4747.97
33392;2018;2249.78
33392;2019;2275.91
33392;2021;2287.91
33392;2024;2761.75
33399;2002;1279.44
33411;2002;3785.92
33411;2003;3460.28
33411;2004;3658.57
33411;2005;3967.22
33411;2006;3610.24
33411;2007;3309.67
33411;2008;3161.45
33411;2009;2261.7
33411;2010;2297.93
33411;2011;2664.34
33411;2012;2426.46
33411;2013;2369.53
33411;2019;2216.59
33411;2020;2000.2
33411;2023;2613.87
33411;2024;2857.6
33441;2002;2259.94
33441;2003;1992.0
33441;2004;2495.37
33441;2005;2947.92
33441;2006;2156.44
33441;2007;2006.23
33451;2002;3398.41
33451;2003;3611.67
33451;2004;3885.42
33451;2005;3739.89
33451;2006;3935.99
33451;2007;4084.6
33451;2008;4048.05
33451;2009;3456.54
33451;2010;3850.91
33451;2011;4425.09
33451;2012;4750.99
33451;2013;4478.41
33451;2014;4004.32
33451;2015;3723.17
33451;2016;3580.84
33451;2017;3558.85
33451;2018;3516.3
33451;2019;3522.45
33451;2020;2899.3
33451;2021;3195.64
33451;2022;3856.47
33451;2023;4108.73
33451;2024;4235.64
33531;2002;1540.35
33531;2003;1575.92
33531;2004;1691.17
33531;2005;1912.96
33531;2006;2314.28
33531;2007;2504.03
33531;2008;2336.51
33531;2009;1952.75
33531;2010;2116.63
33531;2011;2486.69
33531;2012;2793.7
33531;2013;2680.79
33531;2014;2848.73
33531;2015;2593.5
33531;2016;2267.2
33531;2017;2389.9
33531;2018;2624.44
33531;2019;2816.97
33531;2020;2533.1
33531;2021;2829.49
33531;2022;3313.65
33531;2023;3771.04
33531;2024;3911.97
