21111,Oil and gas extraction (except oil sands),74998.095,1
33611,Automobile and light-duty motor vehicle manufacturing,41741.424,1
21222,Gold and silver ore mining,15777.268,1
32411,Petroleum refineries,15471.228,1
33641,Aerospace product and parts manufacturing,13120.976,1
32541,Pharmaceutical and medicine manufacturing,9168.378,1
33141,Non-ferrous metal (except aluminum) smelting and refining,7928.765,1
21239,Other non-metallic mineral mining and quarrying,7248.878,1
33131,Alumina and aluminum production and processing,6672.571,1
32111,Sawmills and wood preservation,6586.992,1
31161,Animal slaughtering and processing,6532.244,1
33361,"Engine, turbine and power transmission equipment manufacturing",5875.232,1
32521,Resin and synthetic rubber manufacturing,5866.452,1
32211,Pulp mills,5824.11,1
11114,Wheat farming,5390.98,1
21211,Coal mining,5344.674,1
21221,Iron ore mining,4947.3,1
33451,"Navigational, measuring, medical and control instruments manufacturing",4850.386,1
31122,Starch and vegetable fat and oil manufacturing,4578.161,1
32619,Other plastic product manufacturing,4547.456,1
33111,Iron and steel mills and ferro-alloy manufacturing,4471.514,1
32212,Paper mills,4434.627,1
31171,Seafood product preparation and packaging,3684.241,1
11112,Oilseed (except soybean) farming,3594.132,1
33331,Commercial and service industry machinery manufacturing,3585.196,1
