21111,Oil and gas extraction (except oil sands),58280.838,1
33611,Automobile and light-duty motor vehicle manufacturing,43472.011,1
33641,Aerospace product and parts manufacturing,13871.618,1
32411,Petroleum refineries,13330.6,1
21222,Gold and silver ore mining,12374.518,1
33141,Non-ferrous metal (except aluminum) smelting and refining,8939.38,1
32541,Pharmaceutical and medicine manufacturing,8185.692,1
21239,Other non-metallic mineral mining and quarrying,7680.602,1
32111,Sawmills and wood preservation,7356.714,1
33131,Alumina and aluminum production and processing,6695.051,1
32521,Resin and synthetic rubber manufacturing,6367.746,1
11114,Wheat farming,6220.954,1
32211,Pulp mills,6011.416,1
31161,Animal slaughtering and processing,5425.49,1
33361,"Engine, turbine and power transmission equipment manufacturing",5163.978,1
32212,Paper mills,5098.485,1
33451,"Navigational, measuring, medical and control instruments manufacturing",4483.915,1
11112,Oilseed (except soybean) farming,4431.869,1
33111,Iron and steel mills and ferro-alloy manufacturing,4418.508,1
32619,Other plastic product manufacturing,4302.79,1
31122,Starch and vegetable fat and oil manufacturing,3892.472,1
33631,Motor vehicle gasoline engine and engine parts manufacturing,3642.786,1
11113,Dry pea and bean farming,3303.822,1
32518,Other basic inorganic chemical manufacturing,3265.223,1
21223,"Copper, nickel, lead and zinc ore mining",3206.072,1
